time	x_f	y_f	z_f	Vx_f	Vy_f	Vz_f	x_nf	y_nf	z_nf	Vx_nf	Vy_nf	Vz_nf	x_kepl	y_kepl	z_kepl	Vx_kepl	Vy_kepl	Vz_kepl
-1000.00000	-57.79620	-117.31400	-47.97660	289.52300	474.67800	297.11200	-53.64060	-96.40580	-50.79360	244.09100	320.08900	290.73600	-62.78320	-60.09020	-85.96020	254.72600	142.46900	399.68000
-999.90300	-57.76660	-117.26500	-47.94620	289.56200	474.75800	297.14400	-53.61560	-96.37300	-50.76380	244.14600	320.18800	290.78800	-62.75720	-60.07560	-85.91930	254.79000	142.52900	399.76700
-999.80300	-57.73700	-117.21700	-47.91580	289.60200	474.83800	297.17700	-53.59070	-96.34030	-50.73410	244.20100	320.28700	290.84000	-62.73110	-60.06100	-85.87840	254.85300	142.59000	399.85400
-999.70300	-57.70740	-117.16800	-47.88540	289.64100	474.91800	297.21000	-53.56570	-96.30750	-50.70430	244.25600	320.38600	290.89200	-62.70500	-60.04640	-85.83750	254.91700	142.65100	399.94100
-999.60300	-57.67770	-117.11900	-47.85500	289.68100	474.99800	297.24200	-53.54070	-96.27470	-50.67460	244.31100	320.48500	290.94400	-62.67890	-60.03180	-85.79660	254.98000	142.71200	400.02800
-999.50300	-57.64810	-117.07100	-47.82460	289.72000	475.07800	297.27500	-53.51570	-96.24200	-50.64480	244.36600	320.58400	290.99700	-62.65290	-60.01720	-85.75570	255.04400	142.77300	400.11500
-999.40300	-57.61850	-117.02200	-47.79420	289.76000	475.15800	297.30800	-53.49070	-96.20920	-50.61510	244.42100	320.68300	291.04900	-62.62680	-60.00260	-85.71480	255.10800	142.83400	400.20300
-999.30300	-57.58880	-116.97400	-47.76380	289.79900	475.23800	297.34100	-53.46570	-96.17640	-50.58530	244.47700	320.78300	291.10100	-62.60070	-59.98800	-85.67380	255.17200	142.89600	400.29000
-999.20300	-57.55920	-116.92500	-47.73340	289.83900	475.31900	297.37300	-53.44070	-96.14360	-50.55550	244.53200	320.88200	291.15400	-62.57460	-59.97340	-85.63290	255.23600	142.95700	400.37700
-999.10300	-57.52960	-116.87600	-47.70300	289.87800	475.39900	297.40600	-53.41570	-96.11070	-50.52580	244.58700	320.98200	291.20600	-62.54850	-59.95880	-85.59190	255.30000	143.01800	400.46500
-999.00300	-57.49990	-116.82800	-47.67260	289.91800	475.48000	297.43900	-53.39070	-96.07790	-50.49600	244.64300	321.08100	291.25800	-62.52240	-59.94410	-85.55100	255.36400	143.07900	400.55200
-998.90300	-57.47020	-116.77900	-47.64210	289.95800	475.56000	297.47200	-53.36570	-96.04510	-50.46620	244.69800	321.18100	291.31100	-62.49620	-59.92950	-85.51000	255.42800	143.14100	400.64000
-998.80300	-57.44060	-116.73100	-47.61170	289.99700	475.64100	297.50500	-53.34060	-96.01220	-50.43640	244.75300	321.28100	291.36300	-62.47010	-59.91490	-85.46900	255.49200	143.20200	400.72800
-998.70300	-57.41090	-116.68200	-47.58130	290.03700	475.72200	297.53800	-53.31560	-95.97940	-50.40660	244.80900	321.38100	291.41600	-62.44400	-59.90020	-85.42800	255.55600	143.26400	400.81500
-998.60300	-57.38130	-116.63300	-47.55080	290.07700	475.80300	297.57100	-53.29060	-95.94650	-50.37680	244.86500	321.48100	291.46800	-62.41780	-59.88560	-85.38700	255.62000	143.32500	400.90300
-998.50300	-57.35160	-116.58500	-47.52040	290.11700	475.88400	297.60400	-53.26550	-95.91360	-50.34700	244.92000	321.58100	291.52100	-62.39170	-59.87090	-85.34600	255.68400	143.38700	400.99100
-998.40300	-57.32190	-116.53600	-47.49000	290.15700	475.96500	297.63700	-53.24050	-95.88070	-50.31720	244.97600	321.68100	291.57300	-62.36560	-59.85620	-85.30500	255.74900	143.44900	401.07900
-998.30300	-57.29230	-116.48700	-47.45950	290.19600	476.04600	297.67000	-53.21540	-95.84780	-50.28730	245.03100	321.78100	291.62600	-62.33940	-59.84160	-85.26400	255.81300	143.51000	401.16700
